x,y
4.8855214,-1.3659508
11.988017,10.601611
-2.058381,8.905123
-3.5656807,7.470675
5.1573305,3.2524064
-4.3844433,9.474814
12.157636,9.144545
5.1520042,3.3591125
12.137272,10.3177185
5.222821,3.7800817
4.711605,6.6995063
-3.0768402,7.863012
-0.31861985,12.709476
12.615737,10.307611
-0.5184882,13.246813
5.6036105,5.2267566
5.5145135,5.3057833
-4.9706388,-0.26183134
-0.058364835,11.1484785
13.313677,9.362355
0.15613095,11.138239
-3.3377678,-0.90508825
-0.067452975,-0.34002855
2.9386156,8.213147
-4.394658,9.601555
-1.431343,11.693796
4.7263055,-1.759387
-5.194996,10.262529
-2.2623441,11.497164
-3.5588245,8.453143
-3.6761158,7.4759626
1.9825202,7.843614
-1.0792621,12.544948
2.393657,-0.9908572
10.708955,3.0461624
2.6392238,-0.7812763
3.389825,8.4274025
2.4382913,8.009623
-5.332677,0.9153536
10.955077,4.704362
-3.4258842,8.506354
-4.573387,10.091125
-2.1289437,12.811016
1.0716124,11.65908
2.5293145,5.298198
-4.730015,10.542269
1.8837171,4.461194
2.514138,-1.2749939
9.19912,3.050067
-1.1245044,-0.85412115
10.681819,3.787824
2.612755,4.9788113
0.40772632,3.834177
4.5415444,3.1278942
1.2620832,5.1976967
3.6039624,-0.30225873
-0.86073303,-1.8369906
3.9108262,-1.7303052
4.0528617,0.23147662
12.052497,10.525034
-2.1508465,11.618281
-0.28829682,-1.0904906
-3.6587574,7.716961
13.33364,8.684496
11.200831,9.917039
11.899616,9.016228
-4.8298993,-0.05274138
-1.9221337,8.714391
13.027147,8.98543
-1.1501043,-1.0181501
10.656696,4.4723325
3.6823523,8.121053
0.58667725,4.2301745
1.6730931,4.5849495
3.2280655,-1.5181952
2.923017,4.9726434
4.0974503,5.297743
0.032417223,11.159517
3.5418773,-0.33812898
5.4879594,4.6807494
3.583857,7.5212226
-0.8861778,11.653303
-4.009983,-0.44201303
12.725452,8.531325
0.26900607,11.517216
2.3973308,-0.7190229
0.49592784,13.198484
4.045093,3.0275986
10.701243,5.110265
-4.740256,9.188369
2.3531716,-1.5282335
13.035179,10.713887
9.688479,2.907959
9.894642,2.9122741
-0.22807442,-0.41929078
-0.23628272,12.303971
4.083298,3.6995723
-1.8723346,8.667995
-4.658897,10.178644
-1.3178523,12.047859
13.188981,8.768544
2.0584953,4.6303186
2.312635,-1.175093
12.125398,10.535896
-4.0692873,8.03782
3.5862083,3.775452
13.081068,10.227069
4.597025,6.811887
12.378697,10.358043
1.0509421,12.49857
13.422975,9.316514
12.453309,10.1894045
-0.9732102,11.553135
-2.945945,8.426242
-4.0150146,-0.33237374
-3.12771,7.4878945
-0.1755644,-0.6684059
-1.2430993,-1.413361
3.914232,5.531149
4.24985,3.0330703
4.3699737,4.358241
-4.4462023,9.207491
3.5690882,-0.9357184
0.6017585,3.7887087
9.692359,2.0884798
5.3092837,4.860081
2.9351838,5.0476346
-3.3426752,9.031983
1.4016786,7.6636095
-2.0676534,11.946127
5.093372,5.281913
3.0975878,8.101188
9.159064,3.06
12.948143,9.7607355
11.336368,9.631326
13.135624,9.934868
5.1571,4.353379
-3.1732876,-0.8612399
4.9898434,3.4956136
11.205739,5.4439282
1.0910339,13.176886
5.243042,4.0626564
-1.1128752,12.539212
4.0617146,6.836894
2.131606,7.4638157
0.76093674,4.2375684
-5.264887,10.743704
-5.04751,10.258698
2.1921158,-0.95464563
0.8695845,4.0576043
-2.9640572,12.73591
5.0297914,2.9857893
2.92051,7.405424
9.709532,2.174088
4.0684953,6.6049333
4.1794434,2.9952786
-4.3266616,8.180367
4.683544,5.375113
-4.550233,10.250153
-0.14797941,4.080489
4.562475,4.435566
12.056332,8.533338
-2.3817954,12.553492
4.808342,6.279841
-4.258254,-0.330445
3.4533987,3.3814805
-3.2128325,8.469463
10.83475,5.068189
4.6411586,5.3420925
12.854366,10.594285
4.5318546,-1.2811812
-4.188606,8.16602
-0.0056945086,10.885492
11.111732,4.252515
-4.606963,0.023352463
4.6341763,4.250326
-3.591227,7.9916105
-1.9816418,12.129288
-4.5676045,-1.208682
3.68571,-1.4534456
-0.32564425,13.069184
1.5687897,4.007684
4.393324,6.460301
4.3602114,-1.6253858
-2.3155658,13.239257
0.19806279,10.821911
2.8083377,-0.7145164
-3.4982529,-1.6235304
9.659687,2.2809048
12.4010105,9.269395
10.977235,3.958553
-0.20788027,-0.4807734
-1.3488619,12.960175
1.4672127,12.368619
11.120702,4.3753734
12.670644,10.1960535
-0.28362733,11.302295
-4.3374395,9.443685
9.75982,2.447838
-0.71480674,10.089304
-4.1950645,-0.29717064
-0.6590767,11.278686
13.175879,9.197275
-1.1350931,10.926082
-0.2885784,9.890167
11.917,9.599208
0.4750905,4.6677876
-0.5747337,13.448087
10.213191,2.683638
4.027491,-1.3461664
12.166866,9.35923
-0.06351613,11.008439
4.329872,4.2474017
9.473971,2.9651453
-4.0658937,8.751805
3.5002103,-1.9220654
-5.415579,0.35656968
9.913696,3.556589
4.154093,4.1996655
-1.0948591,12.336111
4.6479425,-2.0217872
4.993232,2.8965905
-5.154795,0.29353654
11.666617,9.254305
3.0014603,-0.906542
12.809615,7.783793
-1.8147395,10.855235
11.2423525,5.3982286
-5.295537,0.7664997
12.92125,9.693015
12.927966,10.321749
-0.7665644,11.88184
-1.6159337,9.833913
-1.0546415,-0.94240516
-3.1282094,7.598994
5.0577526,3.0099754
4.299096,-1.0863361
3.3749185,3.8516397
1.8266205,4.3163815
9.782801,3.6143882
2.689587,4.851441
9.761287,3.5807106
2.5559692,-1.160952
3.6235907,4.6435785
3.611162,8.026593
4.656909,6.5613575
-1.2979033,11.560391
2.215165,5.15938
4.0959907,3.3978074
-0.48191974,11.867171
0.564843,11.052464
-5.045334,10.739442
-5.1251125,0.37213752
4.5803857,4.7605586
0.23841086,4.069337
-1.7798365,13.257116
3.5807297,7.205354
-2.0384016,-1.1725197
-0.81260633,12.29615
5.3572598,5.460701
11.387942,5.6258316
5.678403,4.846145
3.8843813,3.282417
3.8779004,7.154286
-3.9095855,10.473911
12.161159,8.508986
10.740695,4.326928
0.7689967,4.418577
5.2881103,5.314743
-0.93043363,-1.7588724
10.41814,2.7048225
11.989099,8.58635
10.3131,2.3646243
4.40834,3.8456383
-2.1799097,8.794505
5.087071,6.4147444
-2.5861118,-0.97103757
4.4359374,6.864448
0.18206675,3.9928234
-1.8091626,12.162783
13.282457,9.579926
-1.7675589,8.590551
3.2519877,0.074988216
12.869784,10.47169
5.096912,6.343093
4.489823,4.618803
-4.6020436,10.525101
-4.5938635,0.74790525
1.2978415,12.189108
-1.1286865,9.428466
3.4933512,7.961092
-4.200831,9.82626
-3.6893046,8.806181
-1.3331908,8.838253
-0.7752776,9.646645
10.866485,4.420532
3.8629436,4.148719
11.514371,8.592175
5.6283526,4.4581437
5.0104136,3.5137212
10.276892,4.2735415
-1.2352926,9.328278
0.7292508,4.760708
2.974527,-1.6233743
9.621591,2.4370434
4.1119485,-1.888976
-4.264249,8.241638
-0.06418699,-0.5777453
-1.664096,12.05581
5.003503,6.489113
0.8112854,4.7378254
2.6313627,7.22872
-1.4211017,10.907947
12.667017,8.11691
11.017057,9.359609
4.4995437,3.283492
-1.5046134,10.02596
-2.216779,12.242083
-4.3508883,0.2705547
1.4783441,4.212734
-0.5176729,12.482583
-0.11734636,-1.2047046
-3.1680932,-0.31945035
0.16801418,11.642235
1.1852528,4.618957
-1.9170333,13.173369
4.1116357,6.488617
-3.9284806,-0.8507325
5.132034,6.4602547
3.6421812,3.081064
9.621723,3.887994
4.444381,5.0963607
-1.8357309,-1.5784067
5.3892903,4.4116473
12.286442,8.190636
-1.9934446,8.611679
12.875058,9.70808
12.787613,7.78249
10.32124,3.3211465
12.664385,7.9273443
10.339295,4.4845195
2.333261,7.019614
-4.205145,-1.4343199
0.34256405,4.323049
10.373667,4.7342334
12.18959,8.8130665
10.515522,4.7113314
2.6825306,7.183284
3.8486903,-0.93391603
0.42608473,4.5373445
11.006075,5.27371
-3.8917563,9.731307
-4.041925,9.182371
2.4992433,-1.3887237
3.807612,7.2709785
1.0215707,4.6552362
4.165322,4.9506845
0.9961766,11.867332
5.071411,-1.7571735
-1.4065028,-0.9721212
3.2774787,5.243574
10.1502495,3.1364255
5.3510723,4.886446
1.8806943,4.655925
-2.5791066,12.459748
5.034618,-1.6508862
5.260777,3.3757522
1.8256522,4.5114675
-4.5325394,-1.3534489
11.38001,5.414273
-2.263007,11.647932
3.0848544,5.0940185
-4.8787346,10.437001
-1.2083484,9.940761
-4.9469037,9.837045
10.525487,4.777857
0.9537991,11.547009
2.890882,7.4458046
4.7116866,5.0753565
-3.1689868,8.55048
11.287846,5.4483905
2.3360188,7.7829933
3.8004181,7.451401
-0.3805951,11.947977
3.4474938,-1.1710136
9.643545,3.9602976
2.5551834,-1.1505384
-4.2838135,-0.0087615615
4.843042,2.7934318
-4.406112,8.267868
-4.1493406,-0.27157402
-3.869413,9.251953
0.3875878,10.585134
0.73890823,11.486571
10.614544,4.6605678
-2.4243734,-1.2935061
-1.7401347,-1.1945374
-3.5504549,-0.43325096
-3.760582,7.848569
4.5243487,3.645946
0.45172417,11.531465
-3.9645443,8.548489
10.500952,3.5902414
-2.4056597,-1.8748478
-5.4193573,-0.26422763
-2.124947,-1.3526881
1.5430752,12.2895975
5.280552,4.6359296
2.1339386,4.174138
4.8826294,6.4763947
4.6495504,6.20273
11.583664,8.611854
-0.99104613,12.718367
-0.5937306,-1.1272105
3.802756,-0.043040212
3.7796552,4.5255136
-4.213353,-1.3038296
-3.0698464,-1.1353773
5.4596195,3.7445874
3.4931517,7.181506
1.0923092,12.322576
9.941341,2.6016672
10.847556,4.4772687
3.716556,8.046874
4.7216444,5.3248343
-3.2250595,-0.538698
-0.92602986,12.256389
-3.7649777,8.803162
-4.4591875,9.900567
