x,y
-29.774132,89.34412
86.25957,25.26583
-21.52625,-26.295425
-27.209011,-16.356728
25.518648,68.82553
-59.31643,-49.815285
64.744385,42.65753
21.49101,62.65817
83.73939,44.46897
23.64174,58.833946
28.98156,7.3802776
-44.157806,-21.081541
14.1504545,-57.557266
80.80426,31.518969
24.318617,-52.899105
37.876606,49.303204
32.170822,29.482222
-76.29724,-7.823919
-13.593627,-79.63152
68.801186,25.119732
-11.88982,-79.14676
-61.4548,13.468116
-57.81922,60.040676
21.044483,-19.373796
-60.44937,-55.987408
4.157336,-52.94497
-31.429586,80.78831
-63.29701,-65.89558
-10.708256,-37.66948
-48.748928,-27.007967
-57.94422,-15.322627
31.31829,-30.563305
8.965756,-48.802193
-28.16182,51.20543
60.625904,-26.03732
-25.839437,36.19585
15.887569,-14.6415205
27.954493,-24.848032
-91.254944,-10.187883
79.71745,-1.6219565
-46.11898,-26.432611
-51.746506,-66.34238
4.901601,-34.049053
6.0178022,-84.55421
3.002991,3.2961853
-52.316322,-69.663994
-6.1760383,15.300349
-28.411947,53.118645
71.18751,-45.59932
-54.77918,44.016304
73.46464,-22.304512
10.950131,12.328424
-35.517303,15.36143
7.695058,59.607063
-3.5110366,-3.8295062
-37.981476,58.21796
-74.054184,45.096725
-18.704174,74.39097
-44.973095,40.196884
86.56257,43.939472
-8.927997,-38.762115
-59.092484,54.68571
-58.97983,-23.226332
57.4307,20.831842
74.50329,57.15529
64.29356,44.51655
-70.39089,-6.610955
-25.726625,-26.277689
62.389214,24.614408
-67.07387,42.277153
77.455,-4.8869014
19.447353,-14.124071
-26.94513,9.826786
-10.385521,12.253332
-18.965347,59.603035
13.542862,10.240967
27.8495,30.30724
-14.786509,-76.04478
-37.88394,57.95646
38.833416,50.082203
32.865265,-10.710712
0.011076781,-60.186718
-64.42899,0.6744549
56.576885,37.331776
-10.466467,-83.01319
-29.13796,48.35764
30.491135,-71.204666
3.044363,58.18863
87.95424,-14.0529
-70.611015,-37.733482
-20.275288,52.913403
93.41533,30.650421
65.227036,-41.512314
56.390594,-22.27386
-68.917206,60.83504
6.9413323,-70.242874
6.8582873,50.653065
-23.854023,-22.96732
-52.810795,-66.82543
5.706378,-51.62462
58.06296,25.34662
-4.343902,18.276428
-22.684618,50.197395
83.21059,24.883963
-64.42182,-25.358955
-5.941556,39.947414
74.95719,22.113142
31.245304,8.559864
83.94936,48.428368
14.41513,-91.55439
64.888725,17.837978
80.58281,31.561512
-2.0644112,-60.618443
-41.801456,-27.299562
-64.747154,5.380725
-50.27306,-11.570875
-59.096447,56.981243
-56.39999,38.809322
13.830642,1.8572696
8.771667,63.884502
13.603751,42.57869
-68.78539,-38.69562
-4.804321,66.491745
-32.70626,17.316618
55.206863,-43.20436
31.720232,41.76426
6.7002964,12.33948
-48.575268,-34.29159
-73.86731,27.619688
-7.7823095,-37.153404
24.975473,28.11059
25.600096,-19.505045
69.37773,-45.048805
75.370476,28.909544
70.075325,54.66994
73.76398,22.662848
28.503881,48.3571
-61.492077,15.660151
13.245614,57.963017
100.8879,0.3721989
33.99048,-78.619354
23.919666,55.058296
9.434489,-51.18611
35.36529,-1.3065904
37.76487,-30.523693
-30.485151,20.036303
-54.61149,-77.5521
-63.91983,-69.46282
-23.78096,41.0992
-34.432045,17.897898
-1.955252,-20.898685
11.099492,71.83582
37.489296,-16.969692
51.598312,-42.26917
35.72879,0.6343312
-40.85458,24.580677
-67.02916,-27.402832
21.465631,24.713566
-52.955048,-62.61104
-38.606594,5.29521
14.024147,38.65078
58.294758,44.76105
0.67972976,-31.244602
44.553543,10.288298
-65.43318,-0.934898
-16.4773,37.668304
-45.482975,-27.845531
90.42548,-11.298338
20.603657,27.262753
86.88546,30.807295
-5.6407094,80.002754
-58.54046,-20.718206
1.2007223,-6.734542
76.416595,-10.967067
-75.08922,2.7228456
2.866278,36.460876
-52.85065,-21.943985
-1.7891784,-38.765022
-89.26256,16.962994
-16.935356,65.897
22.078684,-57.17873
-15.350584,18.242132
43.49002,8.82574
